name,kioskId,start_station,total_start_trips,end_station,total_end_trips,totalDocks,percent_car,totalpop,student_ratio,educated_ratio,employed_ratio,logDistRests,within_centerCity,logIntersectionDists,logStationDists,laggedTrips
Municipal Services Building Plaza,3004,3004,572,3004,612,30,0.29245283018867924,965.0,0.0,0.0,0.7461139819055546,2.5933656839555823,1,1.808816656130606,2.6287819002712607,798.8
17th & JFK,3205,3205,391,3205,373,20,0.29245283018867924,965.0,0.0,0.0,0.7461139819055546,2.6071547986688963,1,1.835456598621448,2.5584664619610744,779.8
"Welcome Park, NPS",3005,3005,524,3005,525,13,0.3726279470960322,3693.0,0.004061738413047012,0.016246953652188048,0.62523693304837,2.159450786389083,0,1.6005405061649118,2.7680147331408653,890.0
"4th & Walnut, NPS",3015,3015,627,3015,622,11,0.3726279470960322,3693.0,0.004061738413047012,0.016246953652188048,0.62523693304837,2.6276684149955893,0,2.00121086273011,2.7397130296988426,869.4
40th & Spruce,3006,3006,894,3006,800,17,0.08011724474841231,5766.0,0.10492542472264062,0.013527575418786724,0.42889351295717393,2.406677301390669,0,1.8067624473247443,2.819855411382875,500.4
"40th & Baltimore, Trolley Portal",3152,3152,261,3152,233,17,0.08011724474841231,5766.0,0.10492542472264062,0.013527575418786724,0.42889351295717393,2.65282985877681,0,1.3545183694734908,2.847113888873396,575.0
38th & Spruce,3159,3159,418,3159,358,23,0.08011724474841231,5766.0,0.10492542472264062,0.013527575418786724,0.42889351295717393,2.6465996497843296,0,1.6422846348342481,2.775737770178116,790.6
"11th & Pine, Kahn Park",3007,3007,1504,3007,1510,20,0.26929577464788734,4217.0,0.017548019877761396,0.041735831060621696,0.5729191354685342,2.5788086310886733,0,1.7198825357021466,2.7493934958627646,1355.0
Temple University Station,3008,3008,239,3008,193,17,0.37636480411046885,5065.0,0.11095755160719141,0.039684106535668104,0.34965449091874734,2.7323697269670864,0,1.7302449077561948,2.97266596369605,390.2
13th & Montgomery,3031,3031,352,3031,342,21,0.37636480411046885,5065.0,0.11095755160719141,0.039684106535668104,0.34965449091874734,2.5625164537581986,0,1.7521645814003055,2.9494142075207006,410.8
33rd & Market,3009,3009,1159,3009,1178,14,0.24146341463414633,6502.0,0.2385419867140234,0.007843740375509474,0.3766533368553471,2.585838788001846,0,1.9378674786208872,2.8366674114535027,876.0
"32nd & Baring, Drexel Park",3071,3071,473,3071,445,13,0.24146341463414633,6502.0,0.2385419867140234,0.007843740375509474,0.3766533368553471,2.876882057499862,0,1.6538184135220921,2.922283151799524,1241.4
15th & Spruce,3010,3010,1836,3010,1770,22,0.2700145560407569,2958.0,0.013184584133926354,0.0402298849214676,0.6301555083497109,2.413994392642617,1,1.809674374876094,2.6966535986469333,1148.8
17th & Pine,3063,3063,1006,3063,928,25,0.2700145560407569,2958.0,0.013184584133926354,0.0402298849214676,0.6301555083497109,2.5565538773854204,0,1.2323928037606573,2.6653357309691628,1247.0
15th & South,3125,3125,954,3125,924,16,0.2700145560407569,2958.0,0.013184584133926354,0.0402298849214676,0.6301555083497109,1.987757103718981,0,1.6069078763165423,2.7646211530566243,1048.0
21st & Catharine,3012,3012,1043,3012,976,27,0.4148116438356164,4044.0,0.039564787241432274,0.09718100866176803,0.6881800180806626,2.800997140133415,0,1.4881269207533883,2.782235884284668,979.2
Broad & Christian,3086,3086,509,3086,513,21,0.4148116438356164,4044.0,0.039564787241432274,0.09718100866176803,0.6881800180806626,2.719455748425312,0,1.550121007804402,2.825855658875488,751.2
18th & Christian,3203,3203,788,3203,764,20,0.4148116438356164,4044.0,0.039564787241432274,0.09718100866176803,0.6881800180806626,2.812241834038058,0,1.8455614279007906,2.7790764553923353,860.0
"21st & Winter, Franklin Institute",3014,3014,256,3014,241,25,0.3106332138590203,3566.0,0.03028603468792475,0.015703869838183202,0.5619741992092703,2.7146384686292597,0,1.6504648799508022,2.592153489069522,680.4
24th & Race SRT,3165,3165,600,3165,592,22,0.3106332138590203,3566.0,0.03028603468792475,0.015703869838183202,0.5619741992092703,2.937786443749001,0,1.4871756981973374,2.7881285839498298,574.8
20th & Race,3187,3187,333,3187,313,19,0.3106332138590203,3566.0,0.03028603468792475,0.015703869838183202,0.5619741992092703,2.762858163771353,1,1.8614532484233617,2.6284572147161396,613.4
16th & Arch,3201,3201,689,3201,688,20,0.3106332138590203,3566.0,0.03028603468792475,0.015703869838183202,0.5619741992092703,2.7237199381457464,1,1.5617655212860453,2.6436448529407284,742.2
